key,record_id,completeness,comment,registration_moment,responsible_person,key:contract
progress_log-00,PG-AA-0000,50.0,Comentario,2002/03/20 00:00,persona1,contract-01
progress_log-01,PG-AA-0001,0.01,Comentario,2002/03/20 00:00,persona1,contract-01
progress_log-02,PG-AB-0002,0.02,Comentario,2002/03/20 00:00,persona1,contract-01
progress_log-03,PG-AC-0003,99.99,Comentario,2002/03/20 00:00,persona1,contract-01
progress_log-04,PG-AD-0004,100.0,Comentario,2002/03/20 00:00,persona1,contract-01
progress_log-05,PG-AE-0005,50.0,C,2002/03/20 00:00,persona1,contract-01
progress_log-06,PG-AF-0006,50.0,Co,2002/03/20 00:00,persona1,contract-01
progress_log-07,PG-AG-0007,50.0,Esto es una descripción con 99 caracteres ---------------------------------------------------------,2002/03/20 00:00,persona1,contract-01
progress_log-08,PG-AH-0008,50.0,Esto es una descripción con 100 caracteres ---------------------------------------------------------,2002/03/20 00:00,persona1,contract-01
progress_log-09,PG-AI-0009,50.0,プロジェクト,2002/03/20 00:00,persona1,contract-01
progress_log-10,PG-AJ-0010,50.0,<h1>HolaMundo<h1>,2002/03/20 00:00,persona1,contract-01
progress_log-11,PG-AK-0011,50.0,`(' or 'A' = 'A')`,2002/03/20 00:00,persona1,contract-01
progress_log-12,PG-AL-0012,50.0,Comentario,2000/01/01 00:00,persona1,contract-01
progress_log-13,PG-AL-0013,50.0,Comentario,2000/01/01 00:01,persona1,contract-01
progress_log-14,PG-AL-0014,50.0,Comentario,2022/07/29 23:59,persona1,contract-01
progress_log-15,PG-AL-0015,50.0,Comentario,2022/07/30 00:00,persona1,contract-01
progress_log-16,PG-AL-0016,50.0,Comentario,2000/02/29 00:00,persona1,contract-01
progress_log-17,PG-AL-0017,50.0,Comentario,2002/03/20 00:00,p,contract-01
progress_log-18,PG-AL-0018,50.0,Comentario,2002/03/20 00:00,pe,contract-01
progress_log-19,PG-AL-0019,50.0,Comentario,2002/03/20 00:00,Esto es una persona con 74 caracteres ------------------------------------,contract-01
progress_log-20,PG-AL-0020,50.0,Comentario,2002/03/20 00:00,Esto es una persona con 75 caracteres -------------------------------------,contract-01
progress_log-21,PG-AL-0021,50.0,Comentario,2002/03/20 00:00,プロジェクト,contract-01
progress_log-22,PG-AL-0022,50.0,Comentario,2002/03/20 00:00,<h1>HolaMundo<h1>,contract-01
progress_log-23,PG-AL-0023,50.0,Comentario,2002/03/20 00:00,`(' or 'A' = 'A')`,contract-01
